iter	Passed	Remaining
0	5	2283
1	10	2172
2	16	2161
3	22	2220
4	27	2195
5	32	2147
6	38	2133
7	43	2116
8	48	2124
9	54	2128
10	59	2103
11	64	2087
12	69	2082
13	75	2074
14	82	2109
15	87	2092
16	92	2083
17	97	2067
18	102	2058
19	107	2048
20	112	2039
21	118	2039
22	124	2034
23	129	2030
24	134	2019
25	140	2025
26	148	2053
27	157	2088
28	167	2144
29	176	2173
30	183	2183
31	193	2229
32	202	2253
33	211	2276
34	219	2285
35	226	2295
36	237	2331
37	246	2347
38	255	2368
39	263	2372
40	273	2394
41	284	2428
42	294	2444
43	303	2455
44	312	2461
45	322	2482
46	333	2504
47	341	2504
48	349	2501
49	361	2530
50	372	2545
51	380	2545
52	388	2544
53	398	2550
54	405	2540
55	410	2521
56	415	2501
57	420	2480
58	425	2461
59	433	2456
60	441	2450
61	452	2466
62	461	2466
63	470	2467
64	478	2465
65	489	2478
66	498	2477
67	507	2477
68	518	2487
69	525	2479
70	535	2483
71	545	2486
72	553	2480
73	562	2477
74	572	2480
75	583	2487
76	592	2485
77	603	2491
78	611	2485
79	619	2478
80	629	2479
81	638	2475
82	645	2464
83	653	2458
84	661	2451
85	671	2450
86	679	2445
87	690	2448
88	701	2450
89	707	2436
90	718	2438
91	726	2433
92	736	2430
93	749	2439
94	757	2430
95	766	2427
96	775	2422
97	784	2416
98	790	2403
99	799	2398
100	807	2391
101	814	2380
102	822	2372
103	830	2364
104	839	2359
105	849	2356
106	859	2352
107	867	2346
108	877	2343
109	885	2335
110	894	2329
111	906	2329
112	915	2325
113	924	2318
114	932	2311
115	943	2309
116	951	2300
117	958	2290
118	968	2287
119	977	2280
120	986	2274
121	995	2267
122	1002	2257
123	1010	2250
124	1019	2243
125	1027	2233
126	1036	2228
127	1044	2220
128	1052	2210
129	1060	2202
130	1067	2191
131	1077	2187
132	1086	2182
133	1095	2174
134	1105	2170
135	1113	2161
136	1119	2148
137	1125	2136
138	1130	2123
139	1135	2109
140	1140	2095
141	1145	2080
142	1150	2067
143	1155	2053
144	1161	2042
145	1168	2033
146	1173	2020
147	1178	2007
148	1184	1996
149	1189	1982
150	1194	1969
151	1199	1956
